Date,State,stateFIPS,Count,NewCount,7DayAvg
1/22/20,AK,2,0,0,0
1/23/20,AK,2,0,0,0
1/24/20,AK,2,0,0,0
1/25/20,AK,2,0,0,0
1/26/20,AK,2,0,0,0
1/27/20,AK,2,0,0,0
1/28/20,AK,2,0,0,0
1/29/20,AK,2,0,0,0
1/30/20,AK,2,0,0,0
1/31/20,AK,2,0,0,0
2/1/20,AK,2,0,0,0
2/2/20,AK,2,0,0,0
2/3/20,AK,2,0,0,0
2/4/20,AK,2,0,0,0
2/5/20,AK,2,0,0,0
2/6/20,AK,2,0,0,0
2/7/20,AK,2,0,0,0
2/8/20,AK,2,0,0,0
2/9/20,AK,2,0,0,0
2/10/20,AK,2,0,0,0
2/11/20,AK,2,0,0,0
2/12/20,AK,2,0,0,0
2/13/20,AK,2,0,0,0
2/14/20,AK,2,0,0,0
2/15/20,AK,2,0,0,0
2/16/20,AK,2,0,0,0
2/17/20,AK,2,0,0,0
2/18/20,AK,2,0,0,0
2/19/20,AK,2,0,0,0
2/20/20,AK,2,0,0,0
2/21/20,AK,2,0,0,0
2/22/20,AK,2,0,0,0
2/23/20,AK,2,0,0,0
2/24/20,AK,2,0,0,0
2/25/20,AK,2,0,0,0
2/26/20,AK,2,0,0,0
2/27/20,AK,2,0,0,0
2/28/20,AK,2,0,0,0
2/29/20,AK,2,0,0,0
3/1/20,AK,2,0,0,0
3/2/20,AK,2,0,0,0
3/3/20,AK,2,0,0,0
3/4/20,AK,2,0,0,0
3/5/20,AK,2,0,0,0
3/6/20,AK,2,0,0,0
3/7/20,AK,2,0,0,0
3/8/20,AK,2,0,0,0
3/9/20,AK,2,0,0,0
3/10/20,AK,2,0,0,0
3/11/20,AK,2,0,0,0
3/12/20,AK,2,1,1,1
3/13/20,AK,2,1,0,1
3/14/20,AK,2,1,0,1
3/15/20,AK,2,1,0,1
3/16/20,AK,2,3,2,1
3/17/20,AK,2,6,3,1
3/18/20,AK,2,6,0,1
3/19/20,AK,2,10,4,2
3/20/20,AK,2,13,3,2
3/21/20,AK,2,15,2,2
3/22/20,AK,2,23,8,4
3/23/20,AK,2,37,14,5
3/24/20,AK,2,42,5,6
3/25/20,AK,2,59,17,8
3/26/20,AK,2,69,10,9
3/27/20,AK,2,85,16,11
3/28/20,AK,2,102,17,13
3/29/20,AK,2,114,12,13
3/30/20,AK,2,119,5,12
3/31/20,AK,2,133,14,13
4/1/20,AK,2,142,9,12
4/2/20,AK,2,147,5,12
4/3/20,AK,2,157,10,11
4/4/20,AK,2,171,14,10
4/5/20,AK,2,185,14,11
4/6/20,AK,2,191,6,11
4/7/20,AK,2,213,22,12
4/8/20,AK,2,226,13,12
4/9/20,AK,2,236,10,13
4/10/20,AK,2,247,11,13
4/11/20,AK,2,258,11,13
4/12/20,AK,2,273,15,13
4/13/20,AK,2,278,5,13
4/14/20,AK,2,286,8,11
4/15/20,AK,2,294,8,10
4/16/20,AK,2,301,7,10
4/17/20,AK,2,310,9,9
4/18/20,AK,2,315,5,9
4/19/20,AK,2,320,5,7
4/20/20,AK,2,322,2,7
4/21/20,AK,2,330,8,7
4/22/20,AK,2,336,6,6
4/23/20,AK,2,338,2,6
4/24/20,AK,2,340,2,5
4/25/20,AK,2,340,0,4
4/26/20,AK,2,342,2,4
4/27/20,AK,2,346,4,4
4/28/20,AK,2,352,6,4
4/29/20,AK,2,356,4,3
4/30/20,AK,2,356,0,3
5/1/20,AK,2,365,9,4
5/2/20,AK,2,366,1,4
5/3/20,AK,2,369,3,4
5/4/20,AK,2,371,2,4
5/5/20,AK,2,372,1,3
5/6/20,AK,2,373,1,3
5/7/20,AK,2,375,2,3
5/8/20,AK,2,378,3,2
5/9/20,AK,2,379,1,2
5/10/20,AK,2,380,1,2
5/11/20,AK,2,382,2,2
5/12/20,AK,2,384,2,2
