Date,State,stateFIPS,Count,NewCount,7DayAvg
01/22/20,AK,2,0,0,0
01/23/20,AK,2,0,0,0
01/24/20,AK,2,0,0,0
01/25/20,AK,2,0,0,0
01/26/20,AK,2,0,0,0
01/27/20,AK,2,0,0,0
01/28/20,AK,2,0,0,0
01/29/20,AK,2,0,0,0
01/30/20,AK,2,0,0,0
01/31/20,AK,2,0,0,0
02/01/20,AK,2,0,0,0
02/02/20,AK,2,0,0,0
02/03/20,AK,2,0,0,0
02/04/20,AK,2,0,0,0
02/05/20,AK,2,0,0,0
02/06/20,AK,2,0,0,0
02/07/20,AK,2,0,0,0
02/08/20,AK,2,0,0,0
02/09/20,AK,2,0,0,0
02/10/20,AK,2,0,0,0
02/11/20,AK,2,0,0,0
02/12/20,AK,2,0,0,0
02/13/20,AK,2,0,0,0
02/14/20,AK,2,0,0,0
02/15/20,AK,2,0,0,0
02/16/20,AK,2,0,0,0
02/17/20,AK,2,0,0,0
02/18/20,AK,2,0,0,0
02/19/20,AK,2,0,0,0
02/20/20,AK,2,0,0,0
02/21/20,AK,2,0,0,0
02/22/20,AK,2,0,0,0
02/23/20,AK,2,0,0,0
02/24/20,AK,2,0,0,0
02/25/20,AK,2,0,0,0
02/26/20,AK,2,0,0,0
02/27/20,AK,2,0,0,0
02/28/20,AK,2,0,0,0
02/29/20,AK,2,0,0,0
03/01/20,AK,2,0,0,0
03/02/20,AK,2,0,0,0
03/03/20,AK,2,0,0,0
03/04/20,AK,2,0,0,0
03/05/20,AK,2,0,0,0
03/06/20,AK,2,0,0,0
03/07/20,AK,2,0,0,0
03/08/20,AK,2,0,0,0
03/09/20,AK,2,0,0,0
03/10/20,AK,2,0,0,0
03/11/20,AK,2,0,0,0
03/12/20,AK,2,0,0,0
03/13/20,AK,2,0,0,0
03/14/20,AK,2,0,0,0
03/15/20,AK,2,0,0,0
03/16/20,AK,2,0,0,0
03/17/20,AK,2,0,0,0
03/18/20,AK,2,0,0,0
03/19/20,AK,2,0,0,0
03/20/20,AK,2,0,0,0
03/21/20,AK,2,0,0,0
03/22/20,AK,2,0,0,0
03/23/20,AK,2,0,0,0
03/24/20,AK,2,0,0,0
03/25/20,AK,2,1,1,1
03/26/20,AK,2,1,0,1
03/27/20,AK,2,2,1,1
03/28/20,AK,2,2,0,1
03/29/20,AK,2,3,1,1
03/30/20,AK,2,3,0,1
03/31/20,AK,2,3,0,1
04/01/20,AK,2,3,0,1
04/02/20,AK,2,3,0,1
04/03/20,AK,2,3,0,1
04/04/20,AK,2,5,2,1
04/05/20,AK,2,7,2,1
04/06/20,AK,2,7,0,1
04/07/20,AK,2,6,-1,1
04/08/20,AK,2,7,1,1
04/09/20,AK,2,7,0,1
04/10/20,AK,2,7,0,1
04/11/20,AK,2,8,1,1
04/12/20,AK,2,8,0,1
04/13/20,AK,2,8,0,1
04/14/20,AK,2,9,1,1
04/15/20,AK,2,9,0,1
04/16/20,AK,2,9,0,1
